epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,682.637,2.17476,3.22095,3.13978,0.58411,0.65573,0.64808,0.26899,1.96621,1.50894,2.60268,0.000237587,0.000237587,0.000237587
2,1352.32,1.52613,1.40258,2.21975,0.51563,0.5558,0.50412,0.23194,1.75763,1.662,2.44755,0.000468763,0.000468763,0.000468763
3,2019.76,1.40681,1.21833,2.04997,0.53564,0.62801,0.55587,0.29935,1.59654,1.42475,2.22853,0.000693402,0.000693402,0.000693402
4,2686.68,1.36334,1.14198,1.9843,0.44595,0.39898,0.3589,0.16175,1.9562,2.17449,2.5928,0.000683706,0.000683706,0.000683706
5,3353.58,1.2478,1.04046,1.85527,0.35318,0.34354,0.25856,0.09255,2.20079,2.54393,2.87106,0.000673608,0.000673608,0.000673608
6,4020.58,1.22573,1.00536,1.82498,0.49318,0.52371,0.47188,0.22403,1.76148,1.78343,2.44607,0.00066351,0.00066351,0.00066351
7,4687.36,1.16368,0.92932,1.7559,0.58287,0.48578,0.54865,0.27359,1.67352,1.60527,2.35808,0.000653412,0.000653412,0.000653412
8,5354.27,1.12179,0.89487,1.7086,0.50542,0.48796,0.4409,0.22825,1.79353,1.80589,2.46383,0.000643314,0.000643314,0.000643314
9,6021.23,1.07657,0.84783,1.65134,0.54411,0.5493,0.49013,0.22368,1.92978,1.65266,2.58032,0.000633216,0.000633216,0.000633216
10,6688.09,1.05107,0.80196,1.62203,0.54369,0.65427,0.63774,0.37136,1.45353,1.35266,2.12631,0.000623118,0.000623118,0.000623118
11,7355.7,1.01556,0.7663,1.58999,0.49131,0.55653,0.4644,0.23102,1.84163,1.71801,2.5455,0.00061302,0.00061302,0.00061302
12,8022.8,1.00652,0.7509,1.57895,0.47214,0.36032,0.36505,0.20155,1.77666,2.60901,2.36761,0.000602922,0.000602922,0.000602922
