epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,248.643,2.58475,4.95453,3.64512,0.2617,0.17704,0.10665,0.02641,2.9111,4.73871,4.23082,0.000237059,0.000237059,0.000237059
2,482.551,1.7127,2.44915,2.35744,0.6028,0.5986,0.57703,0.28307,1.73043,1.94424,2.29234,0.000470356,0.000470356,0.000470356
3,714.656,1.47273,1.71978,2.02758,0.60544,0.54435,0.55051,0.29189,1.73805,1.72299,2.19124,0.000698941,0.000698941,0.000698941
4,947.318,1.34679,1.36952,1.85667,0.48716,0.432,0.44683,0.2101,1.85913,1.9125,2.27365,0.000692794,0.000692794,0.000692794
5,1179.21,1.27456,1.21592,1.76175,0.5794,0.53878,0.55362,0.25928,1.80771,1.759,2.17708,0.000685726,0.000685726,0.000685726
6,1411.79,1.25946,1.13935,1.7336,0.56041,0.52811,0.52087,0.27816,1.6491,1.68721,2.08844,0.000678657,0.000678657,0.000678657
7,1643.63,1.15884,1.01945,1.62831,0.46915,0.54626,0.43882,0.21288,1.68183,1.68804,2.07626,0.000671588,0.000671588,0.000671588
8,1875.98,1.1176,0.94647,1.58425,0.66102,0.5779,0.61641,0.29977,1.82923,1.47933,2.16836,0.00066452,0.00066452,0.00066452
9,2098.05,1.09379,0.89381,1.54785,0.59769,0.50748,0.52817,0.28409,1.61197,1.60703,2.0309,0.000657451,0.000657451,0.000657451
10,2295.97,1.05214,0.85008,1.51022,0.64371,0.63282,0.63371,0.33825,1.61105,1.45156,1.95311,0.000650383,0.000650383,0.000650383
11,2528.24,1.0273,0.80437,1.48172,0.68136,0.64522,0.64314,0.36281,1.51375,1.40855,1.88823,0.000643314,0.000643314,0.000643314
12,2758.81,0.98906,0.76053,1.43692,0.69856,0.60557,0.64024,0.37384,1.46584,1.50994,1.83369,0.000636245,0.000636245,0.000636245
13,2991.17,0.97783,0.73677,1.423,0.66458,0.63196,0.63083,0.37843,1.44311,1.39798,1.85998,0.000629177,0.000629177,0.000629177
14,3222.7,0.96615,0.71571,1.41257,0.6745,0.64075,0.63005,0.37841,1.41977,1.4029,1.79802,0.000622108,0.000622108,0.000622108
15,3445.25,0.9334,0.69245,1.37971,0.5566,0.49009,0.44998,0.22238,1.81705,1.73863,2.16167,0.00061504,0.00061504,0.00061504
16,3676.09,0.92771,0.67302,1.36941,0.71778,0.64844,0.67471,0.40028,1.44884,1.43854,1.79646,0.000607971,0.000607971,0.000607971
17,3898.44,0.90147,0.65729,1.3492,0.63312,0.60035,0.60602,0.323,1.61529,1.45476,1.96585,0.000600902,0.000600902,0.000600902
18,4130.53,0.88249,0.63106,1.32063,0.59522,0.57878,0.5726,0.30352,1.63185,1.60392,2.0014,0.000593834,0.000593834,0.000593834
19,4351.61,0.86154,0.61529,1.30183,0.61513,0.59816,0.58079,0.30554,1.63793,1.50635,2.04301,0.000586765,0.000586765,0.000586765
20,4584.73,0.8542,0.59878,1.29566,0.65359,0.63262,0.61164,0.35779,1.48256,1.42671,1.86389,0.000579697,0.000579697,0.000579697
21,4803.8,0.8584,0.59189,1.29687,0.69091,0.6553,0.64315,0.41168,1.29533,1.34327,1.71012,0.000572628,0.000572628,0.000572628
22,5037.55,0.82449,0.57124,1.26893,0.6052,0.55583,0.53894,0.29504,1.69551,1.64027,2.0208,0.000565559,0.000565559,0.000565559
23,5255.56,0.8298,0.56373,1.26455,0.61976,0.57204,0.55477,0.31646,1.57814,1.59716,1.94129,0.000558491,0.000558491,0.000558491
