epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,400.503,2.39388,4.29633,3.35128,0.41722,0.47096,0.32906,0.11417,2.25897,2.42255,2.81556,0.00023753,0.00023753,0.00023753
2,794.5,1.61187,1.90173,2.23772,0.60831,0.52591,0.53616,0.22488,2.01718,1.72719,2.52988,0.000470822,0.000470822,0.000470822
3,1187.11,1.42983,1.44157,1.99658,0.48887,0.55478,0.45458,0.24018,1.6085,1.71,2.10355,0.000699402,0.000699402,0.000699402
4,1579.98,1.3615,1.25399,1.89775,0.49876,0.5113,0.45605,0.2286,1.75075,1.74053,2.19862,0.000692794,0.000692794,0.000692794
5,1949.55,1.26425,1.13102,1.78259,0.48018,0.46261,0.42132,0.19606,1.84605,1.86245,2.31252,0.000685726,0.000685726,0.000685726
6,2325.51,1.23139,1.03978,1.73645,0.54115,0.49426,0.49141,0.26133,1.60334,1.70689,2.08664,0.000678657,0.000678657,0.000678657
7,2717.48,1.14295,0.9476,1.64878,0.65646,0.61614,0.61971,0.35938,1.55691,1.41938,1.98118,0.000671588,0.000671588,0.000671588
8,3110.19,1.1041,0.88872,1.60161,0.68435,0.61635,0.62336,0.36116,1.44981,1.43835,1.88831,0.00066452,0.00066452,0.00066452
9,3502.76,1.07498,0.84723,1.57426,0.60227,0.56557,0.57067,0.29174,1.63909,1.58196,2.10983,0.000657451,0.000657451,0.000657451
10,3895.79,1.04546,0.79689,1.53676,0.60359,0.59548,0.5552,0.3088,1.46196,1.47168,1.94945,0.000650383,0.000650383,0.000650383
11,4288.75,1.05646,0.782,1.5485,0.62407,0.59165,0.5641,0.31367,1.55837,1.49047,2.01903,0.000643314,0.000643314,0.000643314
12,4681.7,0.97799,0.73143,1.46613,0.62565,0.61853,0.59854,0.33799,1.48858,1.49892,1.9142,0.000636245,0.000636245,0.000636245
13,5068.61,0.97498,0.69392,1.45963,0.56146,0.52191,0.52508,0.26498,1.66378,1.80888,2.09494,0.000629177,0.000629177,0.000629177
14,5461.47,0.94837,0.68444,1.42793,0.70434,0.63554,0.63973,0.37207,1.43257,1.5278,1.85508,0.000622108,0.000622108,0.000622108
15,5854.62,0.91913,0.65194,1.40019,0.65838,0.60174,0.60423,0.34808,1.47747,1.48081,1.93083,0.00061504,0.00061504,0.00061504
16,6217.6,0.89026,0.61668,1.3699,0.66576,0.60899,0.62367,0.35775,1.43928,1.57912,1.87485,0.000607971,0.000607971,0.000607971
17,6610.13,0.87402,0.60464,1.35306,0.64306,0.56348,0.56718,0.31242,1.55184,1.53757,1.99131,0.000600902,0.000600902,0.000600902
18,7003.27,0.85229,0.5816,1.33091,0.63238,0.60313,0.60226,0.34238,1.50389,1.5826,1.89774,0.000593834,0.000593834,0.000593834
19,7372.91,0.83843,0.56791,1.31677,0.64375,0.54643,0.57133,0.30589,1.55889,1.77357,2.02382,0.000586765,0.000586765,0.000586765
20,7765.64,0.81487,0.54437,1.28832,0.66307,0.58504,0.61526,0.34106,1.55727,1.71828,1.96219,0.000579697,0.000579697,0.000579697
21,8158.39,0.80363,0.52896,1.28215,0.59897,0.5687,0.57294,0.30369,1.53492,1.64701,1.93925,0.000572628,0.000572628,0.000572628
22,8551.24,0.80084,0.52415,1.28016,0.53552,0.53357,0.50539,0.26105,1.62868,1.83479,2.04904,0.000565559,0.000565559,0.000565559
23,8944.06,0.77612,0.50354,1.25034,0.49633,0.38052,0.38027,0.17735,1.77653,2.36056,2.14343,0.000558491,0.000558491,0.000558491
24,9337.12,0.74559,0.48967,1.22302,0.60122,0.53739,0.53327,0.31225,1.52659,1.69972,1.95756,0.000551422,0.000551422,0.000551422
25,9729.82,0.77304,0.49424,1.24485,0.5781,0.53998,0.51692,0.27614,1.5944,1.84602,1.9723,0.000544354,0.000544354,0.000544354
26,10114.5,0.74663,0.47537,1.21731,0.64852,0.56243,0.57242,0.33518,1.48574,1.57482,1.89776,0.000537285,0.000537285,0.000537285
27,10480.6,0.71819,0.46496,1.19844,0.65035,0.59391,0.60304,0.34951,1.49093,1.67857,1.87258,0.000530216,0.000530216,0.000530216
28,10873.5,0.71168,0.45774,1.18443,0.62772,0.57391,0.56108,0.30146,1.63289,1.7036,1.96,0.000523148,0.000523148,0.000523148
29,11265.4,0.69591,0.44416,1.16951,0.64244,0.57244,0.58025,0.3326,1.54829,1.57775,1.92853,0.000516079,0.000516079,0.000516079
30,11658.2,0.68235,0.4305,1.15294,0.64469,0.59339,0.59186,0.32209,1.57431,1.61791,1.93311,0.000509011,0.000509011,0.000509011
31,12051.1,0.66258,0.41695,1.13919,0.67831,0.61682,0.63187,0.36024,1.55518,1.54761,1.89587,0.000501942,0.000501942,0.000501942
32,12416.3,0.66135,0.4208,1.13899,0.66647,0.58957,0.60238,0.33638,1.56394,1.69523,1.90356,0.000494873,0.000494873,0.000494873
33,12808.7,0.65313,0.41206,1.13062,0.66886,0.61217,0.59289,0.35926,1.44875,1.49814,1.81693,0.000487805,0.000487805,0.000487805
34,13200.8,0.6468,0.40627,1.12413,0.59858,0.54122,0.52708,0.28112,1.62601,1.74089,1.98821,0.000480736,0.000480736,0.000480736
35,13593.2,0.6322,0.39694,1.11067,0.66333,0.65791,0.64676,0.3995,1.36513,1.36011,1.73651,0.000473668,0.000473668,0.000473668
36,13985.8,0.64807,0.40291,1.12151,0.64108,0.60417,0.59316,0.34982,1.49435,1.48663,1.87526,0.000466599,0.000466599,0.000466599
37,14378.8,0.62005,0.38751,1.0996,0.68028,0.56,0.5838,0.33172,1.58514,1.72273,1.89054,0.00045953,0.00045953,0.00045953
38,14743.7,0.60274,0.37456,1.08015,0.6492,0.56035,0.55945,0.3133,1.58623,1.74015,1.91824,0.000452462,0.000452462,0.000452462
39,15128.2,0.60283,0.37141,1.08079,0.62278,0.57713,0.54766,0.2999,1.68661,1.65169,1.99532,0.000445393,0.000445393,0.000445393
40,15521.2,0.59811,0.36964,1.0789,0.67879,0.60174,0.60113,0.36416,1.44384,1.54132,1.78619,0.000438325,0.000438325,0.000438325
41,15913.6,0.58801,0.36491,1.06766,0.65416,0.62172,0.61354,0.36349,1.49554,1.48804,1.85435,0.000431256,0.000431256,0.000431256
42,16306.6,0.5764,0.35769,1.05716,0.63872,0.61287,0.59408,0.32298,1.63933,1.56906,1.95468,0.000424187,0.000424187,0.000424187
43,16699.1,0.57756,0.35448,1.06038,0.66438,0.58664,0.58214,0.32794,1.62638,1.62773,1.93561,0.000417119,0.000417119,0.000417119
44,17085.4,0.56668,0.34922,1.04892,0.71642,0.62713,0.6281,0.35058,1.60868,1.56925,1.97221,0.00041005,0.00041005,0.00041005
45,17477.8,0.55721,0.34164,1.04009,0.67469,0.52835,0.54477,0.29915,1.67972,1.89261,1.95595,0.000402982,0.000402982,0.000402982
46,17870.1,0.57339,0.33962,1.04861,0.64876,0.58609,0.57146,0.31716,1.66962,1.6762,1.97351,0.000395913,0.000395913,0.000395913
47,18262.5,0.54625,0.35514,1.03304,0.66817,0.61144,0.6085,0.34743,1.5492,1.55187,1.90055,0.000388844,0.000388844,0.000388844
48,18654.9,0.5414,0.33195,1.02915,0.65352,0.56139,0.56784,0.31452,1.62834,1.70519,1.97235,0.000381776,0.000381776,0.000381776
49,19021.3,0.53531,0.32783,1.02132,0.65965,0.60874,0.57111,0.33205,1.49966,1.68501,1.86342,0.000374707,0.000374707,0.000374707
50,19413.4,0.53097,0.32174,1.0184,0.65087,0.55766,0.5458,0.30035,1.69224,1.72413,2.02898,0.000367639,0.000367639,0.000367639
51,19784.3,0.51665,0.31535,1.0042,0.58067,0.5096,0.50826,0.27648,1.71477,2.08288,2.01102,0.00036057,0.00036057,0.00036057
